"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UHRF1BP1",1073.17699182309,0.601862669895272,0.110446321098918,5.44936819902072,5.05490672856295e-08,3.02032397948589e-07
"TAP2",1396.94752087225,-0.80130519509038,0.152460589902559,-5.25581854040123,1.47367540082907e-07,7.9597822327095e-07
"TNFRSF12A",818.312439767384,-0.987173169133221,0.181460142911226,-5.44016527980013,5.32311633624725e-08,3.16334899927867e-07
"NCRNA00095",99.4035938144035,0.64837170763048,0.186773909553925,3.47142547467683,0.000517703009902179,0.00129097043340996
"POLR2K",1579.41184708785,-0.418307771817176,0.134750020295614,-3.1043243696698,0.00190714118296534,0.00418464733978543
"EIF5AL1",1385.45229850127,-0.595667560781882,0.0854575240895212,-6.97033487838811,3.16187435622638e-12,4.69219302717113e-11
"UCK1",600.383301085138,-0.203810905220705,0.079139085620037,-2.57535077166854,0.0100138474280425,0.0184146791974466
"PLEKHB2",3125.95460123089,0.331008498819793,0.0984816841045354,3.36111736745319,0.000776278313784635,0.00186224739280976
"SCNN1A",2617.75844314682,0.952707160475391,0.218046500285857,4.36928434634998,1.24654370185947e-05,4.48435494604433e-05
"ARHGEF37",780.826448297495,0.692836987732674,0.204263443542975,3.39187950479699,0.00069414959555236,0.00168270554811339
"FAM98A",1094.40202461585,-0.505262117871128,0.095308491728058,-5.30133368716801,1.14959746167634e-07,6.37143216338765e-07
"CYP4Z1",1645.21854012426,3.60521355311494,0.517759025663337,6.96311097328733,3.32839422538291e-12,4.90063234773102e-11
"SEC13",2329.75175821555,-0.505726388187732,0.0851811980198501,-5.93706592468776,2.90168012108851e-09,2.29398290894223e-08
"SLAMF8",463.614011406054,-0.836688843602207,0.203234528952553,-4.1168636447478,3.84063140738026e-05,0.00012457917992939
"MCCC1",690.839438982054,-0.832716018105121,0.126680839090452,-6.57333835238136,4.9199482125809e-11,5.71087110425065e-10
