"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNF38",1425.59459283523,0.57402176480994,0.0534003216142389,10.7494065102574,5.9644143914935e-27,3.77631489346941e-26
"NFIB",4448.2548473904,1.57405504573096,0.14645880328286,10.7474252858051,6.09389327353684e-27,3.85643832497911e-26
"DLST",2330.0069483097,0.578406553437955,0.0538558781639034,10.7398964264894,6.61185204447172e-27,4.18221088233451e-26
"SHROOM2",347.977386955164,-1.18142027388799,0.110011224370599,-10.7390884943531,6.66996466729329e-27,4.21694259921141e-26
"FAHD1",620.800703784674,-0.770917760143763,0.0717931745164588,-10.7380369420359,6.74635943960694e-27,4.26319391759703e-26
"MTCH2",1803.65399889555,-0.590963729877644,0.0550390232470679,-10.737176915819,6.80948438326536e-27,4.30101933478512e-26
"SACS",698.779499343065,1.13790496714594,0.10598126513787,10.736850193906,6.83361860299155e-27,4.31419288590781e-26
"RUNX2",317.383961693959,-1.37289788750554,0.127870599840348,-10.736618810107,6.85076169082018e-27,4.3229422884116e-26
"RNPC3",231.890418334109,0.786954182878364,0.073314322499217,10.7339760643191,7.04961199858036e-27,4.44628858348411e-26
"MTFR1",655.548286844643,-0.980692480753795,0.0913791155708897,-10.7321292685635,7.19195857030503e-27,4.53389610445044e-26
"NIPA2",983.873897868043,-0.455143539340663,0.0424179946254726,-10.7299636241489,7.36251522333799e-27,4.63919520750589e-26
"DSEL",480.627439657724,1.25234448411805,0.11671848594076,10.7296155705247,7.39029798137847e-27,4.65447331717152e-26
"TTC26",141.680347014224,-0.805015062639083,0.0750354475645497,-10.7284635298079,7.48300113950235e-27,4.71060468671781e-26
"TBC1D7",267.945747324611,-0.837808957493748,0.078097186360745,-10.7277738998657,7.5390454534507e-27,4.74361641031413e-26
"NFE2L3",531.547203925,-1.39015319446983,0.1296396046462,-10.7232137760965,7.92025365770693e-27,4.98109407053972e-26
"LRRC56",116.668904241599,-1.61083586353813,0.150254108098073,-10.7207442374003,8.13461209970987e-27,5.11346222867627e-26
"AXIN1",779.952992180303,-0.784872063203871,0.0732156070476796,-10.7200103209244,8.19941848658015e-27,5.15173964385941e-26
"TOP1P1",88.3688007843576,-0.454451808635221,0.042404495835745,-10.717066661883,8.46453435240986e-27,5.31577603438793e-26
"ZNF658",73.0060246962987,0.829236656095065,0.0773806062031546,10.716337035639,8.53155069811806e-27,5.35530766997272e-26
"C16orf13",539.410850348351,-0.960990380072843,0.0896858646953508,-10.7150706896475,8.6491160904601e-27,5.42651644893834e-26
"ICA1",828.99205034412,-0.754802207561605,0.0704514555646433,-10.7137915251308,8.76950219106088e-27,5.49942626683823e-26
"C19orf63",2347.77533526534,-0.766220451030485,0.0715207229393696,-10.713264904775,8.81954549398709e-27,5.52817511130248e-26
"LOC91316",255.665499117896,0.876529360170181,0.0818265988968005,10.7120346193987,8.9375622985473e-27,5.59948274801419e-26
"DZIP1L",81.1132526718512,1.13943196702212,0.106381855646311,10.7107735628376,9.06015589646217e-27,5.67358858540112e-26
"EPHA2",496.635666669998,1.19348214067087,0.111432222257309,10.7103862464036,9.09814246589224e-27,5.69466710787159e-26
"RGS4",172.899179145977,-1.66924549751457,0.155880809632153,-10.7084733614975,9.28807950682144e-27,5.8107885241583e-26
"ENSA",4892.14567488947,-0.677473423501007,0.0633087577949493,-10.7011011919595,1.00575788469085e-26,6.28921189367489e-26
"C10orf58",3306.706312224,1.31659897588322,0.123035968365521,10.7009274879018,1.00764521823607e-26,6.29628674712179e-26
"HMGN2",5490.67410905259,-0.539887521978507,0.0504524914969675,-10.7009090326284,1.00784594516338e-26,6.29628674712179e-26
"COBLL1",1346.82188836761,1.26521483298422,0.118234916582947,10.7008561391983,1.00842145490545e-26,6.29636000067224e-26
"GMPPA",655.411598293729,-0.646205206738038,0.0603883818163078,-10.7008200468709,1.00881434638135e-26,6.29636000067224e-26
"NDOR1",510.39638542493,-0.747030518805538,0.0698238119544657,-10.6987931179223,1.03112427605489e-26,6.43255395531304e-26
"WDR54",174.871206115912,-1.00629026619031,0.0940680708683479,-10.6974689381975,1.04596268175376e-26,6.52203068684259e-26
"RAPGEF1",2126.12856094222,0.612947508429762,0.0573059200331911,10.6960591170118,1.06199349991731e-26,6.61885437472139e-26
"MAPK13",920.833952488731,-1.03376351776489,0.0966717023547815,-10.6935482936983,1.09114914095338e-26,6.79734791404134e-26
"MCCC1",813.070847947384,0.997455203348079,0.0933159582634975,10.6890099175915,1.14587646473782e-26,7.13489683318068e-26
"PDGFRA",2328.21264483687,1.39116925541296,0.130197955000843,10.6850315383521,1.19608395456357e-26,7.4439967347141e-26
"KCNJ8",379.333297228906,1.39616208726997,0.130683138830685,10.683567136223,1.21510891963195e-26,7.5588273672568e-26
"NLK",520.991802288454,-0.720550979787438,0.0674579582822875,-10.6814821873527,1.2427145378546e-26,7.72690196588575e-26
"OLFML1",474.191415920078,1.30120881631527,0.12183690168722,10.67992372012,1.26375458252262e-26,7.85401396116394e-26
"FOXRED2",798.616542888987,-0.869404501069354,0.0814339266211392,-10.6761952559914,1.3155346719268e-26,8.17195983321024e-26
"EAF1",945.767297446865,-0.60218600815828,0.0564098203731314,-10.6751981157718,1.32973566651363e-26,8.25627857467875e-26
"PRELP",3255.55613178397,2.00721218561404,0.188050081155593,10.6738171729544,1.34965398393452e-26,8.37599971264975e-26
"ZNF25",448.50206665747,0.772327397511673,0.0723616370038178,10.6731609384531,1.35922272548948e-26,8.43140845222339e-26
"BLCAP",2105.84039663532,0.702944017547149,0.0658665045508212,10.6722532543802,1.37256887156918e-26,8.51018561303115e-26
"N4BP2L2",1414.9877831721,0.580622437895843,0.0544146334386421,10.6703362901553,1.40118341475866e-26,8.68351096443893e-26
"FAM91A1",1394.31767119052,-0.732351384547321,0.0686367871456369,-10.6699543350329,1.40695512880045e-26,8.71517664018836e-26
"LEO1",715.318376912895,-0.729420827377212,0.0684342375639042,-10.65871197434,1.5878114081977e-26,9.83083798970194e-26
"RAB3A",88.812924404732,-1.13534042651667,0.106537362363346,-10.6567348893489,1.62191929221686e-26,1.00372936734605e-25
"MXD3",130.632555248149,-0.990949574091942,0.09299513553423,-10.6559291343491,1.6360273002749e-26,1.01198436811647e-25
"ANAPC4",490.356527146617,0.400553797950309,0.0375942962393765,10.654642805383,1.65880225995299e-26,1.02559014315459e-25
"RRAS",920.793546854777,1.0988419303117,0.103147176143793,10.6531460326151,1.68569912459859e-26,1.04173040268034e-25
"LCA5L",82.4863058732557,-1.04220473378216,0.0978498931079146,-10.6510564363392,1.72397355462276e-26,1.06488333643826e-25
"PRELID1",1534.05994156865,-0.630925794611154,0.059237389259867,-10.6508035295641,1.72866402221772e-26,1.06727976193489e-25
"RAB40C",610.141643331463,-0.85728402752501,0.0805004393042362,-10.6494329091183,1.75430480957622e-26,1.08237479816524e-25
"RARA",1914.22179426673,-1.07134046443163,0.100600932658602,-10.6494088684775,1.75475789659244e-26,1.08237479816524e-25
"MTERFD1",405.445884550812,-0.805176983368031,0.075617410202393,-10.6480370223331,1.78080579469871e-26,1.09792724475968e-25
"ARFGEF1",2635.44440233925,-0.798956850210573,0.0750434362212252,-10.6465920331164,1.80865708717735e-26,1.11457646247732e-25
"C17orf62",1160.55990506144,-0.718342370429625,0.067491050233081,-10.6435204067624,1.86930355739349e-26,1.15141051595557e-25
"AP1S3",140.889106144667,-1.16265541793438,0.109238420252892,-10.6432829698816,1.87407461558625e-26,1.15380936225266e-25
"CLN3",1395.33908678254,-0.831649295516235,0.0781424429430036,-10.6427347827202,1.8851360533626e-26,1.16007694578831e-25
"NOD2",166.340672683504,-1.65684959777921,0.155683953720609,-10.6423915771859,1.89209424981643e-26,1.1638147948754e-25
"GALNT5",279.514910197,-2.42797819454012,0.228351555834721,-10.6326325899766,2.10096654757092e-26,1.29168718662663e-25
"GNAI3",2323.17270763518,-0.437931222507896,0.0411939409848114,-10.6309620307842,2.13894562767128e-26,1.31442302974029e-25
"TNIP1",3202.83809797625,0.856553085829157,0.0805961924363137,10.6277115572922,2.21480419862792e-26,1.36040446414089e-25
"MOV10",991.596946605384,-0.650705266363394,0.0612444096822798,-10.6247291751049,2.28674943901319e-26,1.40394043217027e-25
"TWIST1",249.25089949579,1.60223438125481,0.150915026311137,10.6167982103487,2.4895408741455e-26,1.52773084039055e-25
